B0001	113.679983	22.947097	67997.3868	114	06:30:00
B0002	113.966524	22.577792	37926.5416	163	06:30:00
B0003	113.347272	23.192458	27953.0363	139	06:30:00
B0004	113.31875	23.255965	25085.6986	98	06:30:00
B0005	116.97047	33.65205	20919.0667	66	06:30:00
B0006	112.79768	22.262784	18237.6295	72	06:30:00
B0007	106.239083	29.560903	15729.3601	15	06:30:00
B0008	113.376315	23.143373	14868.4446	95	06:42:00
B0009	113.651842	23.28528	13556.1555	110	06:36:00
B0010	113.488909	23.099259	13327.9511	64	06:36:00
B0011	113.34726	23.192462	11349.0899	89	06:42:00
B0012	113.955368	22.548889	10957.5811	102	06:33:00
B0013	113.358177	23.178845	10427.7392	90	06:45:00
B0014	113.768888	23.054911	10210.6765	232	06:30:00
B0015	113.761634	23.053426	10187.7506	217	06:33:00
B0016	113.65272	23.054769	9495.8126	171	06:30:00
B0017	114.081898	22.92814	9065.9062	52	06:39:00
B0018	113.305001	23.146943	8549.9583	85	06:48:00
B0019	113.317362	23.025829	7054.4886	73	06:33:00
B0020	113.839206	23.012667	6824.2516	94	06:30:00
B0021	113.920188	22.574867	6510.0602	77	06:36:00
B0022	111.017906	27.124487	6494.3768	1	06:30:00
B0023	113.29603	23.262722	6105.2056	73	06:39:00
B0024	113.29179	23.216283	5207.8348	60	06:54:00
B0025	113.922057	22.724052	4268.3089	38	06:30:00
B0026	113.31738	23.025831	4236.5421	57	06:36:00
B0027	113.262137	23.141684	4182.3338	62	06:51:00
B0028	113.320705	23.173014	3836.0711	58	07:00:00
B0029	113.257642	23.187008	3562.2053	56	06:57:00
B0030	113.301889	23.10714	3039.9026	43	07:06:00
B0031	114.007186	22.667339	2923.8802	25	06:39:00
B0032	113.409023	23.129688	2755.8648	34	07:00:00
B0033	114.728544	22.993463	2635.5945	29	06:30:00
B0034	113.782606	22.799744	2274.9848	19	06:33:00
B0035	113.402306	23.125731	2148.7238	29	07:09:00
B0036	112.882467	23.089162	2127.005	51	06:33:00
B0037	113.381757	23.13759	1980.8566	33	07:09:00
B0038	113.683234	22.935859	1937.4291	67	06:33:00
B0039	110.922443	21.679227	1691.0543	88	06:30:00
B0040	113.487402	23.099656	1650.2348	23	06:48:00
B0041	113.133736	23.039077	1523.3223	55	06:30:00
