t	P
0.000000	0
1.000000	-714
2.000000	-1677
3.000000	-1847
4.000000	-1847
5.000000	-1847
6.000000	-1847
7.000000	-1847
8.000000	-1847
9.000000	-1847
10.000000	-1847
11.000000	-1847
12.000000	-1828
13.000000	-1790
14.000000	-1750
15.000000	-1709
16.000000	-1668
17.000000	-1625
18.000000	-1582
19.000000	-1538
20.000000	-1493
21.000000	-1448
22.000000	-1402
23.000000	-1355
24.000000	-1308
25.000000	-1260
26.000000	-1211
27.000000	-1162
28.000000	-1113
29.000000	-1063
30.000000	-1012
31.000000	-961
32.000000	-910
33.000000	-858
34.000000	-805
35.000000	-753
36.000000	-700
37.000000	-646
38.000000	-593
39.000000	-539
40.000000	-484
41.000000	-430
42.000000	-375
43.000000	-320
44.000000	-265
45.000000	-210
46.000000	-154
47.000000	-98
48.000000	-43
49.000000	12
50.000000	68
51.000000	124
52.000000	180
53.000000	236
54.000000	292
55.000000	348
56.000000	404
57.000000	460
58.000000	515
59.000000	571
60.000000	627
61.000000	682
62.000000	737
63.000000	792
64.000000	847
65.000000	901
66.000000	956
67.000000	1010
68.000000	1063
69.000000	1117
70.000000	1170
71.000000	1222
72.000000	1275
73.000000	1326
74.000000	1378
75.000000	1429
76.000000	1479
77.000000	1529
78.000000	1579
79.000000	1628
80.000000	1677
81.000000	1724
82.000000	1772
83.000000	1819
84.000000	1865
85.000000	1910
86.000000	1955
87.000000	1999
88.000000	2043
89.000000	2086
90.000000	2128
91.000000	2169
92.000000	2210
93.000000	2249
94.000000	2288
95.000000	2327
96.000000	2364
97.000000	2400
98.000000	2436
99.000000	2471
100.000000	2505
101.000000	1808
102.000000	856
103.000000	714
104.000000	744
105.000000	774
106.000000	802
107.000000	829
108.000000	855
109.000000	880
110.000000	905
111.000000	928
112.000000	951
113.000000	971
114.000000	992
115.000000	1011
116.000000	1029
117.000000	1046
118.000000	1062
119.000000	1077
120.000000	1091
121.000000	1103
122.000000	1115
123.000000	1125
124.000000	1135
125.000000	1143
126.000000	1150
127.000000	1157
128.000000	1162
129.000000	1166
130.000000	1168
131.000000	1170
132.000000	1171
133.000000	1171
134.000000	1171
135.000000	1171
136.000000	1171
137.000000	1171
138.000000	1171
139.000000	1171
140.000000	1171
141.000000	1171
142.000000	1171
143.000000	1171
144.000000	1171
145.000000	1171
146.000000	1171
147.000000	1171
148.000000	1171
149.000000	1171
150.000000	1171
151.000000	1171
152.000000	1171
153.000000	1171
154.000000	1171
155.000000	1171
156.000000	1171
157.000000	1171
158.000000	1171
159.000000	1171
160.000000	1171
161.000000	1171
162.000000	1171
163.000000	1171
164.000000	1171
165.000000	1171
166.000000	1171
167.000000	1171
168.000000	1171
169.000000	1171
170.000000	1171
171.000000	1171
172.000000	1171
173.000000	1171
174.000000	1171
175.000000	1171
176.000000	1171
177.000000	1171
178.000000	1171
179.000000	1171
180.000000	1171
181.000000	1171
182.000000	1171
183.000000	1171
184.000000	1171
185.000000	1171
186.000000	1171
187.000000	1171
188.000000	1171
189.000000	1171
190.000000	1171
191.000000	1171
192.000000	1171
193.000000	1171
194.000000	1171
195.000000	1171
196.000000	1171
197.000000	1171
198.000000	1171
199.000000	1171
200.000000	1171
201.000000	448
202.000000	-523
203.000000	-694
204.000000	-694
205.000000	-694
206.000000	-694
207.000000	-694
208.000000	-694
209.000000	-694
210.000000	-694
211.000000	-694
212.000000	-694
213.000000	-694
214.000000	-694
215.000000	-694
216.000000	-694
217.000000	-694
218.000000	-694
219.000000	-694
220.000000	-694
221.000000	-694
222.000000	-694
223.000000	-694
224.000000	-694
225.000000	-694
226.000000	-694
227.000000	-694
